Email,Type,Started free trial,Decision maker,Designation,Employee Size,Visited Pricing ,Visited Integrations ,Visited Platform ,Country,Acquisition Source,When do you need to Solution,Sources,Destinations
1801@customer-leads.com,created account ,Yes,Yes,Tech lead,4368,Yes,No,No,Germany,Blog - Redshift - X to Y,In A Month,google_analytics ,ms_sql
1802@customer-leads.com,request quote,Yes,No,Ceo,9030,Yes,No,No,China,Direct - Home,Early Exploration,"python,chartio,superset","postgres,s3,ms_sql"
1803@customer-leads.com,request demo ,Yes,No,Tech lead,7806,Yes,No,No,Germany,Blog - Redshift - X to Y,Immediately,"redshift,s3,tableau",redshift
1804@customer-leads.com,created account ,No,No,Cto,9655,Yes,No,Yes,Denmark,Blog - Redshift - Generic,Early Exploration,"aurora,s3","bigquery,s3"
1805@customer-leads.com,request quote,No,No,Cto,3211,Yes,Yes,No,Denmark,Blog - Redshift - X to Y,Early Exploration,google_analytics ,redshift
1806@customer-leads.com,created account ,No,No,Swe,8270,No,Yes,Yes,Us,Blog - Redshift - Generic,This Quarter,google_analytics ,"snowflake,rds,ms_sql"
1807@customer-leads.com,contact us,No,Yes,Business analyst ,4249,No,Yes,Yes,India,Blog - Generic,This Quarter,"redshift,s3,tableau",redshift
1808@customer-leads.com,created account ,No,Yes,Tech lead,9734,No,Yes,No,Germany,Blog - Redshift - X to Y,This Quarter,"python,chartio,superset","bigquery,s3"
1809@customer-leads.com,request quote,No,No,Product manager,4586,No,Yes,Yes,India,Blog - Redshift - X to Y,Early Exploration,google_analytics ,"bigquery,s3"
1810@customer-leads.com,created account ,No,No,Ceo,6437,Yes,No,Yes,India,Blog - Redshift - Generic,In A Month,"python,chartio,superset","snowflake,rds,ms_sql"
1811@customer-leads.com,request demo ,No,Yes,Business analyst ,7628,No,No,No,Us,Blog - Generic,Early Exploration,"mysql,ms_sql",ms_sql
1812@customer-leads.com,contact us,Yes,No,Ceo,7789,No,No,No,Japan,Blog - Generic,Immediately,"mysql,ms_sql","bigquery,s3"
1813@customer-leads.com,created account ,No,No,Tech lead,3297,Yes,No,No,Denmark,Ads - ETL Tools,In A Month,"redshift,s3,tableau","bigquery,s3"
1814@customer-leads.com,contact us,Yes,Yes,Ceo,2199,Yes,No,No,Us,Blog - Redshift - X to Y,Immediately,google_analytics ,"snowflake,rds,ms_sql"
1815@customer-leads.com,request demo ,Yes,No,Swe,2997,Yes,Yes,Yes,Japan,Direct - Home,In A Month,"python,chartio,superset","snowflake,rds,ms_sql"
1816@customer-leads.com,request quote,No,Yes,Tech lead,3938,No,Yes,Yes,Germany,Blog - Redshift - Generic,Immediately,"redshift,s3,tableau","snowflake,rds,ms_sql"
1817@customer-leads.com,request demo ,Yes,Yes,Ceo,649,Yes,No,No,Japan,Blog - Generic,Early Exploration,google_analytics ,ms_sql
1818@customer-leads.com,created account ,No,No,Swe,7406,Yes,Yes,Yes,Japan,Direct - Home,This Quarter,"aurora,s3",ms_sql
1819@customer-leads.com,request demo ,Yes,No,Product manager,8753,Yes,Yes,Yes,Us,Blog - Generic,In A Month,"aurora,s3","postgres,s3,ms_sql"
1820@customer-leads.com,request demo ,Yes,No,Cto,8646,No,No,No,Us,Ads - ETL Tools,Early Exploration,"aurora,s3",ms_sql
1821@customer-leads.com,request quote,Yes,No,Swe,7199,Yes,No,No,Germany,Ads - ETL Tools,This Quarter,"aurora,s3","snowflake,rds,ms_sql"
1822@customer-leads.com,request quote,No,No,Swe,1767,Yes,Yes,Yes,Japan,Blog - Redshift - Generic,Early Exploration,"aurora,s3",redshift
1823@customer-leads.com,created account ,No,Yes,Ceo,975,No,Yes,No,Germany,Direct - Home,In A Month,"mysql,ms_sql","bigquery,s3"
1824@customer-leads.com,created account ,No,Yes,Ceo,4051,No,No,No,China,Blog - Generic,Early Exploration,"mysql,ms_sql",ms_sql
1825@customer-leads.com,created account ,No,No,Ceo,6622,Yes,No,Yes,Germany,Blog - Generic,This Quarter,"python,chartio,superset","snowflake,rds,ms_sql"
1826@customer-leads.com,contact us,Yes,No,Swe,8364,Yes,No,No,Us,Direct - Home,This Quarter,"redshift,s3,tableau",redshift
1827@customer-leads.com,created account ,No,No,Business analyst ,3973,Yes,No,No,Denmark,Blog - Redshift - Generic,Immediately,google_analytics ,redshift
1828@customer-leads.com,request demo ,Yes,Yes,Tech lead,7107,Yes,Yes,No,China,Direct - Home,In A Month,"mysql,ms_sql","snowflake,rds,ms_sql"
1829@customer-leads.com,created account ,Yes,Yes,Ceo,2742,Yes,No,No,Japan,Blog - Redshift - X to Y,Immediately,google_analytics ,"snowflake,rds,ms_sql"
1830@customer-leads.com,request quote,Yes,No,Ceo,3516,Yes,No,Yes,Us,Blog - Redshift - Generic,In A Month,"mysql,ms_sql",ms_sql
1831@customer-leads.com,created account ,No,Yes,Ceo,8582,No,No,No,China,Direct - Home,Immediately,"redshift,s3,tableau","bigquery,s3"
1832@customer-leads.com,contact us,No,Yes,Product manager,7066,Yes,Yes,No,Germany,Blog - Redshift - X to Y,Early Exploration,google_analytics ,"snowflake,rds,ms_sql"
1833@customer-leads.com,request demo ,Yes,Yes,Swe,8754,Yes,No,No,Denmark,Blog - Redshift - X to Y,Immediately,"python,chartio,superset","snowflake,rds,ms_sql"
1834@customer-leads.com,contact us,No,Yes,Business analyst ,1290,Yes,Yes,Yes,Germany,Ads - ETL Tools,Early Exploration,google_analytics ,"bigquery,s3"
1835@customer-leads.com,created account ,No,Yes,Ceo,5372,No,Yes,Yes,India,Blog - Redshift - Generic,This Quarter,"python,chartio,superset",ms_sql
1836@customer-leads.com,created account ,No,No,Cto,1583,Yes,Yes,No,Denmark,Blog - Redshift - Generic,This Quarter,google_analytics ,"snowflake,rds,ms_sql"
1837@customer-leads.com,contact us,No,No,Product manager,4070,Yes,Yes,No,Us,Blog - Generic,Immediately,"redshift,s3,tableau","bigquery,s3"
1838@customer-leads.com,request demo ,Yes,No,Tech lead,1441,Yes,Yes,Yes,Denmark,Blog - Generic,In A Month,"python,chartio,superset",ms_sql
1839@customer-leads.com,request demo ,No,Yes,Swe,6199,Yes,Yes,No,Germany,Direct - Home,Immediately,"aurora,s3","snowflake,rds,ms_sql"
1840@customer-leads.com,request demo ,Yes,Yes,Swe,3416,No,No,Yes,Germany,Direct - Home,This Quarter,"mysql,ms_sql",redshift
1841@customer-leads.com,created account ,Yes,Yes,Product manager,8931,No,Yes,No,Japan,Blog - Generic,Early Exploration,google_analytics ,redshift
1842@customer-leads.com,request demo ,No,Yes,Product manager,6618,No,No,Yes,Japan,Blog - Redshift - X to Y,Early Exploration,"redshift,s3,tableau","bigquery,s3"
1843@customer-leads.com,request quote,Yes,Yes,Ceo,4262,Yes,Yes,No,Us,Blog - Redshift - Generic,Immediately,"python,chartio,superset",redshift
1844@customer-leads.com,request quote,Yes,Yes,Cto,3094,No,Yes,Yes,Denmark,Blog - Redshift - X to Y,This Quarter,"aurora,s3",ms_sql
1845@customer-leads.com,request quote,No,Yes,Tech lead,8860,Yes,Yes,No,Japan,Direct - Home,Early Exploration,"mysql,ms_sql","bigquery,s3"
1846@customer-leads.com,contact us,No,No,Product manager,2171,Yes,No,No,Japan,Blog - Redshift - X to Y,This Quarter,"python,chartio,superset",ms_sql
1847@customer-leads.com,contact us,No,No,Product manager,1006,Yes,No,Yes,Denmark,Ads - ETL Tools,Immediately,"redshift,s3,tableau",redshift
1848@customer-leads.com,request quote,No,Yes,Cto,6822,Yes,Yes,Yes,Japan,Blog - Redshift - Generic,Immediately,"aurora,s3","bigquery,s3"
1849@customer-leads.com,created account ,No,No,Business analyst ,8929,No,Yes,Yes,Us,Blog - Generic,This Quarter,"python,chartio,superset",ms_sql
1850@customer-leads.com,request quote,Yes,Yes,Cto,6569,No,Yes,Yes,Germany,Direct - Home,Immediately,"aurora,s3","snowflake,rds,ms_sql"
1851@customer-leads.com,request quote,No,Yes,Swe,8061,No,No,No,Us,Blog - Redshift - Generic,In A Month,"redshift,s3,tableau",redshift
1852@customer-leads.com,created account ,No,Yes,Product manager,6402,No,Yes,Yes,Us,Blog - Generic,Early Exploration,"aurora,s3",redshift
1853@customer-leads.com,request quote,No,Yes,Product manager,1434,No,Yes,No,Us,Blog - Redshift - Generic,Immediately,"mysql,ms_sql",redshift
1854@customer-leads.com,contact us,Yes,No,Ceo,7580,No,Yes,No,China,Blog - Redshift - X to Y,Early Exploration,"python,chartio,superset",ms_sql
1855@customer-leads.com,contact us,No,Yes,Business analyst ,6615,Yes,No,No,Denmark,Ads - ETL Tools,In A Month,"redshift,s3,tableau","snowflake,rds,ms_sql"
1856@customer-leads.com,request demo ,No,Yes,Cto,3430,No,Yes,No,Denmark,Ads - ETL Tools,In A Month,"aurora,s3",ms_sql
1857@customer-leads.com,created account ,Yes,Yes,Cto,7795,No,No,No,Germany,Blog - Redshift - Generic,Early Exploration,google_analytics ,"snowflake,rds,ms_sql"
1858@customer-leads.com,created account ,No,Yes,Tech lead,8906,Yes,No,No,Us,Ads - ETL Tools,This Quarter,google_analytics ,ms_sql
1859@customer-leads.com,contact us,Yes,Yes,Product manager,2030,No,Yes,Yes,China,Ads - ETL Tools,In A Month,"aurora,s3","snowflake,rds,ms_sql"
1860@customer-leads.com,request quote,No,Yes,Swe,9299,No,No,No,Denmark,Blog - Redshift - Generic,Immediately,"aurora,s3","bigquery,s3"
1861@customer-leads.com,request quote,No,Yes,Business analyst ,5237,Yes,Yes,Yes,Denmark,Blog - Redshift - X to Y,This Quarter,"python,chartio,superset","snowflake,rds,ms_sql"
1862@customer-leads.com,contact us,Yes,No,Business analyst ,3968,Yes,Yes,No,Denmark,Ads - ETL Tools,This Quarter,"python,chartio,superset","snowflake,rds,ms_sql"
1863@customer-leads.com,request quote,Yes,Yes,Product manager,1763,No,No,Yes,Germany,Ads - ETL Tools,Early Exploration,"redshift,s3,tableau",redshift
1864@customer-leads.com,request quote,No,No,Ceo,3285,No,No,Yes,India,Blog - Redshift - X to Y,In A Month,google_analytics ,"snowflake,rds,ms_sql"
1865@customer-leads.com,request quote,No,Yes,Ceo,2324,Yes,No,Yes,China,Blog - Generic,Early Exploration,"aurora,s3",redshift
1866@customer-leads.com,contact us,No,No,Tech lead,6825,No,Yes,Yes,China,Ads - ETL Tools,This Quarter,"aurora,s3","snowflake,rds,ms_sql"
1867@customer-leads.com,created account ,Yes,Yes,Product manager,8367,No,Yes,Yes,Germany,Blog - Generic,In A Month,"redshift,s3,tableau","bigquery,s3"
1868@customer-leads.com,request demo ,Yes,Yes,Tech lead,6566,No,No,Yes,Japan,Blog - Redshift - X to Y,Early Exploration,google_analytics ,ms_sql
1869@customer-leads.com,request demo ,No,No,Ceo,1801,No,Yes,Yes,India,Ads - ETL Tools,In A Month,"redshift,s3,tableau","bigquery,s3"
1870@customer-leads.com,request demo ,Yes,Yes,Swe,8732,Yes,No,No,India,Blog - Generic,Immediately,"aurora,s3","postgres,s3,ms_sql"
1871@customer-leads.com,request quote,Yes,No,Ceo,3396,Yes,No,Yes,China,Blog - Redshift - X to Y,In A Month,google_analytics ,"postgres,s3,ms_sql"
1872@customer-leads.com,request demo ,No,Yes,Cto,2589,Yes,Yes,No,Germany,Blog - Generic,Early Exploration,"mysql,ms_sql",redshift
1873@customer-leads.com,request demo ,Yes,No,Business analyst ,7462,No,No,No,Denmark,Ads - ETL Tools,Immediately,google_analytics ,ms_sql
1874@customer-leads.com,request demo ,No,No,Ceo,1501,Yes,No,No,China,Ads - ETL Tools,In A Month,"aurora,s3",redshift
1875@customer-leads.com,contact us,No,No,Swe,7213,No,No,No,China,Ads - ETL Tools,Immediately,"python,chartio,superset",ms_sql
1876@customer-leads.com,created account ,No,No,Business analyst ,3564,Yes,Yes,No,Denmark,Blog - Generic,This Quarter,"aurora,s3","snowflake,rds,ms_sql"
1877@customer-leads.com,request quote,No,Yes,Product manager,7260,Yes,No,No,Japan,Blog - Redshift - X to Y,This Quarter,google_analytics ,"snowflake,rds,ms_sql"
1878@customer-leads.com,request quote,Yes,No,Ceo,7546,Yes,Yes,No,India,Blog - Generic,Immediately,"mysql,ms_sql",redshift
1879@customer-leads.com,created account ,No,No,Ceo,3732,Yes,No,No,Germany,Direct - Home,Immediately,"python,chartio,superset",redshift
1880@customer-leads.com,contact us,Yes,Yes,Ceo,4131,No,Yes,No,Germany,Blog - Redshift - Generic,Early Exploration,"aurora,s3","bigquery,s3"
1881@customer-leads.com,contact us,Yes,Yes,Tech lead,2424,No,Yes,Yes,India,Blog - Generic,This Quarter,google_analytics ,"bigquery,s3"
1882@customer-leads.com,request quote,No,No,Business analyst ,7455,No,Yes,No,Germany,Ads - ETL Tools,Immediately,google_analytics ,"bigquery,s3"
1883@customer-leads.com,request demo ,No,Yes,Ceo,8473,Yes,Yes,Yes,Japan,Blog - Generic,Immediately,"python,chartio,superset","snowflake,rds,ms_sql"
1884@customer-leads.com,request quote,Yes,Yes,Product manager,2825,Yes,Yes,No,Germany,Blog - Redshift - X to Y,In A Month,"mysql,ms_sql","postgres,s3,ms_sql"
1885@customer-leads.com,request demo ,Yes,Yes,Cto,4043,Yes,Yes,No,Denmark,Blog - Redshift - Generic,In A Month,"mysql,ms_sql","snowflake,rds,ms_sql"
1886@customer-leads.com,created account ,No,No,Cto,137,Yes,No,No,Japan,Blog - Generic,This Quarter,"aurora,s3","snowflake,rds,ms_sql"
1887@customer-leads.com,request quote,Yes,Yes,Swe,2093,No,Yes,Yes,India,Ads - ETL Tools,Early Exploration,"mysql,ms_sql","postgres,s3,ms_sql"
1888@customer-leads.com,request demo ,No,No,Swe,3086,No,Yes,No,India,Ads - ETL Tools,Early Exploration,"aurora,s3",ms_sql
1889@customer-leads.com,created account ,Yes,Yes,Cto,6298,No,Yes,Yes,Denmark,Direct - Home,Immediately,"aurora,s3","snowflake,rds,ms_sql"
1890@customer-leads.com,request demo ,No,No,Product manager,551,No,Yes,Yes,India,Blog - Redshift - Generic,Immediately,"aurora,s3",redshift
1891@customer-leads.com,contact us,No,No,Cto,7992,No,Yes,No,Japan,Ads - ETL Tools,Early Exploration,google_analytics ,ms_sql
1892@customer-leads.com,created account ,No,No,Cto,8871,Yes,Yes,No,Germany,Ads - ETL Tools,In A Month,"mysql,ms_sql",redshift
1893@customer-leads.com,created account ,Yes,No,Tech lead,5030,Yes,No,No,China,Blog - Redshift - Generic,This Quarter,"redshift,s3,tableau","snowflake,rds,ms_sql"
1894@customer-leads.com,request quote,Yes,Yes,Business analyst ,7215,Yes,Yes,No,India,Blog - Generic,This Quarter,"aurora,s3",redshift
1895@customer-leads.com,contact us,Yes,No,Product manager,5045,No,Yes,Yes,India,Ads - ETL Tools,In A Month,"python,chartio,superset","postgres,s3,ms_sql"
1896@customer-leads.com,contact us,Yes,No,Ceo,4078,Yes,Yes,No,Germany,Blog - Redshift - X to Y,Immediately,"python,chartio,superset","snowflake,rds,ms_sql"
