Email,Type,Started free trial,Decision maker,Designation,Employee Size,Visited Pricing ,Visited Integrations ,Visited Platform ,Country,Acquisition Source,When do you need to Solution,Sources,Destinations,Status
1@customer-leads.com,request quote,No,No,Tech lead,6378,Yes,No,Yes,China,Ads - ETL Tools,This Quarter,"redshift,s3,tableau","postgres,s3,ms_sql",Not Interested
2@customer-leads.com,request quote,No,Yes,Swe,1344,No,No,Yes,Us,Direct - Home,Early Exploration,google_analytics ,redshift,May Consider
3@customer-leads.com,created account ,No,Yes,Cto,6970,No,No,Yes,Us,Blog - Redshift - X to Y,Early Exploration,"mysql,ms_sql","bigquery,s3",May Consider
4@customer-leads.com,request quote,Yes,No,Tech lead,4463,Yes,No,No,India,Blog - Redshift - Generic,In A Month,"mysql,ms_sql",redshift,Not Interested
5@customer-leads.com,request quote,Yes,No,Business analyst ,7855,No,No,No,Germany,Blog - Redshift - X to Y,This Quarter,"mysql,ms_sql","postgres,s3,ms_sql",Not Interested
6@customer-leads.com,created account ,Yes,Yes,Cto,2389,Yes,No,No,Denmark,Ads - ETL Tools,Immediately,"aurora,s3","postgres,s3,ms_sql",Interested
7@customer-leads.com,contact us,No,No,Business analyst ,5006,No,No,No,Denmark,Blog - Generic,Immediately,"python,chartio,superset","postgres,s3,ms_sql",Not Interested
8@customer-leads.com,created account ,No,Yes,Ceo,2881,No,Yes,No,China,Ads - ETL Tools,Immediately,"mysql,ms_sql",redshift,May Consider
9@customer-leads.com,request demo ,Yes,Yes,Swe,9612,No,No,No,Us,Direct - Home,Immediately,"mysql,ms_sql","bigquery,s3",Interested
10@customer-leads.com,request quote,No,No,Tech lead,3524,No,Yes,Yes,India,Blog - Generic,In A Month,"aurora,s3",ms_sql,Not Interested
11@customer-leads.com,request quote,No,No,Swe,3084,Yes,No,Yes,Us,Blog - Redshift - X to Y,Immediately,"redshift,s3,tableau",redshift,Not Interested
12@customer-leads.com,created account ,Yes,Yes,Cto,4353,Yes,No,No,India,Blog - Redshift - Generic,In A Month,"mysql,ms_sql","bigquery,s3",Interested
13@customer-leads.com,created account ,No,Yes,Business analyst ,193,Yes,No,No,Germany,Ads - ETL Tools,Immediately,"mysql,ms_sql","bigquery,s3",May Consider
14@customer-leads.com,request demo ,Yes,Yes,Tech lead,1530,Yes,Yes,No,Japan,Blog - Redshift - Generic,Early Exploration,"mysql,ms_sql","postgres,s3,ms_sql",Interested
15@customer-leads.com,contact us,No,Yes,Product manager,3562,No,Yes,No,Us,Blog - Redshift - Generic,Immediately,"redshift,s3,tableau",ms_sql,May Consider
16@customer-leads.com,request demo ,Yes,Yes,Ceo,3160,Yes,Yes,Yes,India,Blog - Redshift - X to Y,Immediately,"aurora,s3",ms_sql,Interested
17@customer-leads.com,request quote,No,Yes,Product manager,5916,Yes,Yes,Yes,China,Direct - Home,Early Exploration,"mysql,ms_sql","postgres,s3,ms_sql",May Consider
18@customer-leads.com,request quote,Yes,Yes,Swe,4048,Yes,Yes,Yes,Us,Blog - Redshift - X to Y,Immediately,"python,chartio,superset","snowflake,rds,ms_sql",Interested
19@customer-leads.com,request quote,No,No,Cto,215,No,No,No,China,Blog - Redshift - X to Y,This Quarter,"python,chartio,superset","bigquery,s3",Not Interested
20@customer-leads.com,created account ,No,Yes,Swe,4953,Yes,Yes,No,Germany,Blog - Redshift - X to Y,Immediately,"mysql,ms_sql",ms_sql,May Consider
21@customer-leads.com,request demo ,Yes,No,Business analyst ,2188,No,No,Yes,Japan,Blog - Generic,This Quarter,"mysql,ms_sql","postgres,s3,ms_sql",Not Interested
22@customer-leads.com,request quote,Yes,No,Product manager,8271,No,No,No,China,Blog - Redshift - Generic,Immediately,"mysql,ms_sql","snowflake,rds,ms_sql",Not Interested
23@customer-leads.com,created account ,No,Yes,Business analyst ,6303,Yes,Yes,Yes,Japan,Blog - Redshift - X to Y,In A Month,"redshift,s3,tableau",ms_sql,May Consider
24@customer-leads.com,request quote,Yes,No,Cto,7512,No,Yes,Yes,China,Direct - Home,Early Exploration,google_analytics ,"snowflake,rds,ms_sql",Not Interested
25@customer-leads.com,request demo ,No,Yes,Swe,2132,No,Yes,Yes,China,Blog - Generic,Immediately,"python,chartio,superset",redshift,May Consider
26@customer-leads.com,created account ,Yes,Yes,Business analyst ,341,No,Yes,Yes,China,Blog - Redshift - X to Y,Early Exploration,"redshift,s3,tableau",redshift,Interested
27@customer-leads.com,request quote,No,Yes,Business analyst ,3589,Yes,No,Yes,Us,Ads - ETL Tools,This Quarter,"aurora,s3","bigquery,s3",May Consider
28@customer-leads.com,request demo ,Yes,Yes,Swe,276,No,No,Yes,Japan,Blog - Redshift - X to Y,In A Month,"mysql,ms_sql",ms_sql,Interested
29@customer-leads.com,created account ,Yes,Yes,Product manager,4070,No,Yes,No,China,Ads - ETL Tools,This Quarter,google_analytics ,ms_sql,Interested
30@customer-leads.com,request quote,No,No,Cto,18,Yes,No,Yes,Japan,Blog - Redshift - Generic,Early Exploration,"mysql,ms_sql",ms_sql,Not Interested
31@customer-leads.com,request demo ,Yes,Yes,Tech lead,6980,No,Yes,No,Denmark,Blog - Redshift - Generic,Early Exploration,"python,chartio,superset","snowflake,rds,ms_sql",Interested
32@customer-leads.com,contact us,Yes,Yes,Ceo,1848,No,No,Yes,Denmark,Blog - Generic,Early Exploration,google_analytics ,redshift,Interested
33@customer-leads.com,created account ,No,Yes,Swe,5003,Yes,No,Yes,Us,Blog - Redshift - Generic,Immediately,google_analytics ,"bigquery,s3",May Consider
34@customer-leads.com,request demo ,Yes,No,Cto,4131,Yes,Yes,Yes,India,Blog - Redshift - Generic,This Quarter,"mysql,ms_sql",ms_sql,Not Interested
35@customer-leads.com,created account ,No,Yes,Ceo,6732,Yes,Yes,Yes,Germany,Blog - Generic,Immediately,google_analytics ,"postgres,s3,ms_sql",May Consider
36@customer-leads.com,contact us,Yes,No,Product manager,2754,Yes,Yes,Yes,India,Blog - Generic,This Quarter,"mysql,ms_sql","snowflake,rds,ms_sql",Not Interested
37@customer-leads.com,contact us,Yes,Yes,Tech lead,313,No,Yes,No,India,Blog - Redshift - Generic,In A Month,"aurora,s3","bigquery,s3",Interested
38@customer-leads.com,contact us,Yes,No,Tech lead,5086,No,Yes,No,Us,Blog - Redshift - X to Y,In A Month,"python,chartio,superset","bigquery,s3",Not Interested
39@customer-leads.com,request demo ,Yes,Yes,Ceo,334,No,No,Yes,Japan,Blog - Redshift - X to Y,This Quarter,"redshift,s3,tableau","postgres,s3,ms_sql",Interested
40@customer-leads.com,contact us,No,No,Tech lead,6175,Yes,Yes,No,Japan,Ads - ETL Tools,In A Month,"aurora,s3","postgres,s3,ms_sql",Not Interested
41@customer-leads.com,contact us,Yes,Yes,Cto,6190,No,Yes,Yes,Denmark,Blog - Redshift - Generic,In A Month,"python,chartio,superset",ms_sql,Interested
42@customer-leads.com,contact us,Yes,Yes,Tech lead,2326,Yes,Yes,Yes,Denmark,Blog - Generic,Early Exploration,google_analytics ,"postgres,s3,ms_sql",Interested
43@customer-leads.com,created account ,Yes,Yes,Tech lead,9301,Yes,Yes,No,India,Direct - Home,This Quarter,"mysql,ms_sql","snowflake,rds,ms_sql",Interested
44@customer-leads.com,request demo ,No,Yes,Swe,2217,No,Yes,No,Germany,Ads - ETL Tools,Immediately,"redshift,s3,tableau","postgres,s3,ms_sql",May Consider
45@customer-leads.com,request quote,Yes,No,Product manager,2798,Yes,Yes,No,Japan,Direct - Home,Early Exploration,"aurora,s3","postgres,s3,ms_sql",Not Interested
46@customer-leads.com,request quote,No,Yes,Tech lead,2217,Yes,No,No,India,Blog - Generic,In A Month,"mysql,ms_sql",redshift,May Consider
47@customer-leads.com,request quote,Yes,No,Product manager,1713,No,Yes,No,Us,Ads - ETL Tools,This Quarter,"mysql,ms_sql","postgres,s3,ms_sql",Not Interested
48@customer-leads.com,request quote,No,No,Cto,1800,No,Yes,No,Germany,Blog - Generic,In A Month,"redshift,s3,tableau",ms_sql,Not Interested
49@customer-leads.com,contact us,No,Yes,Swe,921,No,Yes,No,Denmark,Blog - Generic,Early Exploration,"mysql,ms_sql",redshift,May Consider
50@customer-leads.com,created account ,No,No,Product manager,6821,No,Yes,No,Us,Blog - Generic,Early Exploration,"redshift,s3,tableau","bigquery,s3",Not Interested
51@customer-leads.com,contact us,Yes,Yes,Tech lead,7838,No,Yes,No,Denmark,Blog - Generic,In A Month,"aurora,s3","snowflake,rds,ms_sql",Interested
52@customer-leads.com,contact us,Yes,No,Product manager,4557,Yes,No,Yes,Denmark,Ads - ETL Tools,In A Month,"python,chartio,superset",redshift,Not Interested
53@customer-leads.com,request demo ,Yes,No,Tech lead,6356,No,No,Yes,Japan,Direct - Home,This Quarter,"mysql,ms_sql",redshift,Not Interested
54@customer-leads.com,request quote,No,No,Business analyst ,7011,No,No,Yes,Denmark,Blog - Generic,Immediately,google_analytics ,"postgres,s3,ms_sql",Not Interested
55@customer-leads.com,request quote,No,Yes,Tech lead,3753,Yes,Yes,Yes,Germany,Blog - Generic,This Quarter,"redshift,s3,tableau","snowflake,rds,ms_sql",May Consider
56@customer-leads.com,request demo ,No,Yes,Cto,6298,No,No,No,Denmark,Blog - Redshift - Generic,Early Exploration,"redshift,s3,tableau",ms_sql,May Consider
57@customer-leads.com,request demo ,Yes,No,Ceo,3184,No,No,No,Germany,Blog - Redshift - Generic,This Quarter,"aurora,s3","postgres,s3,ms_sql",Not Interested
58@customer-leads.com,request demo ,Yes,No,Ceo,5128,No,Yes,Yes,Japan,Blog - Generic,This Quarter,"mysql,ms_sql","snowflake,rds,ms_sql",Not Interested
59@customer-leads.com,contact us,No,Yes,Product manager,2916,No,No,No,China,Direct - Home,Immediately,google_analytics ,"postgres,s3,ms_sql",May Consider
60@customer-leads.com,request demo ,Yes,No,Business analyst ,6734,No,Yes,Yes,China,Blog - Generic,Early Exploration,google_analytics ,"snowflake,rds,ms_sql",Not Interested
61@customer-leads.com,request quote,Yes,No,Business analyst ,3835,No,Yes,No,Us,Ads - ETL Tools,Immediately,"python,chartio,superset","snowflake,rds,ms_sql",Not Interested
62@customer-leads.com,request demo ,Yes,Yes,Swe,8122,No,Yes,Yes,Us,Direct - Home,Immediately,"redshift,s3,tableau",redshift,Interested
63@customer-leads.com,created account ,Yes,No,Swe,3131,Yes,No,Yes,Germany,Blog - Redshift - X to Y,In A Month,"aurora,s3","bigquery,s3",Not Interested
64@customer-leads.com,request quote,Yes,No,Business analyst ,1720,No,No,Yes,Denmark,Blog - Redshift - X to Y,Immediately,"aurora,s3",ms_sql,Not Interested
65@customer-leads.com,request quote,No,Yes,Swe,9758,Yes,No,No,Germany,Blog - Redshift - X to Y,Early Exploration,"mysql,ms_sql",ms_sql,May Consider
